interview_uuid,category,created,text,body,caption_var
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,What is your age?,2. 30-39,demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,What is your highest level of education completed?,3. College/Technical (diploma- 2 or 3 years),demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,What is your favourite (most experienced) genre(s) of live-televised programming?,1. News,demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
9472f8a279b74498bb4372ec0307feca,demographics,12:11.2,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,What is your gender?,2. Male,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,What is your age?,1. 18-29,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,What is your highest level of education completed?,5. Graduate school,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
b144565836a14467aa5280df016a449c,demographics,17:51.4,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,What is your gender?,1. Female,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,What is your age?,2. 30-39,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,What is your highest level of education completed?,5. Graduate school,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
bcbded7442454ef58ff9336c2f1bdf93,demographics,20:11.0,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,What is your gender?,2. Male,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,What is your age?,3. 40-49,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,How often do you use closed captions when watching live-televised programming?,1. Always,demo
ac43703ce9d54469b5074223dc15d195,demographics,30:28.8,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,What is your gender?,2. Male,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,What is your age?,2. 30-39,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,What is your highest level of education completed?,5. Graduate school,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
517ff06a27fb4ddcad589afe8a4dc241,demographics,38:33.1,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,What is your gender?,2. Male,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,What is your age?,2. 30-39,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,What is your highest level of education completed?,5. Graduate school,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
c366a1481d0142f9b733154e85dd1987,demographics,38:39.5,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,What is your gender?,2. Male,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,What is your age?,1. 18-29,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
5e7773d136dd4b358279188058ae27c3,demographics,46:22.9,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,What is your gender?,2. Male,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,What is your age?,1. 18-29,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,How often do you use closed captions when watching live-televised programming?,1. Always,demo
5974751552f44cd8b5c53b4a8895d08b,demographics,54:33.8,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,What is your gender?,2. Male,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,What is your age?,1. 18-29,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
322f0b05c31e42b1bd570a708b4a3601,demographics,57:09.9,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,What is your gender?,2. Male,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,What is your age?,3. 40-49,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,How often do you use closed captions when watching live-televised programming?,1. Always,demo
cd3540ec6be34c32b27631ea3912e28b,demographics,07:19.1,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,What is your gender?,1. Female,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,What is your age?,2. 30-39,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,What is your highest level of education completed?,5. Graduate school,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
1e739d1765b649a091cba83d66e874ba,demographics,46:20.8,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,What is your gender?,1. Female,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,What is your age?,1. 18-29,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
72d1a18e6777456ebf72714a68d4c736,demographics,46:38.9,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,What is your gender?,2. Male,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,What is your age?,2. 30-39,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,What is your highest level of education completed?,5. Graduate school,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,How often do you use closed captions when watching live-televised programming?,4. Seldom,demo
d15a804ab10248359edc684ef7057921,demographics,51:07.9,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,What is your gender?,2. Male,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,What is your age?,1. 18-29,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,How often do you use closed captions when watching live-televised programming?,1. Always,demo
877f5ec9bdce474d8728a3395fcc0b63,demographics,19:39.1,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,3. I am Deafened,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,What is your gender?,2. Male,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,What is your age?,1. 18-29,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
1f3cf84fcb234574a0a0b3b55c9a6002,demographics,40:44.6,"On average, how many hours of television do you watch per week?",1. 1-5 hours,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,What is your gender?,1. Female,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,What is your age?,2. 30-39,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,What is your favourite (most experienced) genre(s) of live-televised programming?,4. Talk shows,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
d462f8c8300f4796a86e43381eb2d0ff,demographics,45:24.6,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,2. I identify as Deaf,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,What is your gender?,2. Male,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,What is your age?,3. 40-49,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
d925ce3e3a974c6a95820e2ac2203851,demographics,49:04.8,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,2. I identify as Deaf,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,What is your gender?,2. Male,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,What is your age?,2. 30-39,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,What is your highest level of education completed?,3. College/Technical (diploma- 2 or 3 years),demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,How often do you use closed captions when watching live-televised programming?,3. Sometimes,demo
8810fb9a148f4758bd87ae0fa4f0a9f1,demographics,49:50.6,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,What is your gender?,2. Male,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,What is your age?,3. 40-49,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,What is your highest level of education completed?,5. Graduate school,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,What is your favourite (most experienced) genre(s) of live-televised programming?,1. News,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,How often do you use closed captions when watching live-televised programming?,1. Always,demo
4da108a0e0fa4723a9ea8268b05087fe,demographics,50:56.5,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,What is your gender?,2. Male,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,What is your age?,2. 30-39,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,What is your highest level of education completed?,5. Graduate school,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
c7b7e5453f4e4ba2af54fbbb2e93d56a,demographics,51:07.3,"On average, how many hours of television do you watch per week?",4. More than 15 hours,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,What is your gender?,2. Male,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,What is your age?,2. 30-39,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,What is your highest level of education completed?,5. Graduate school,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,How often do you use closed captions when watching live-televised programming?,4. Seldom,demo
532b3d78f1224a83ae21b93e37aa6eb9,demographics,52:15.9,"On average, how many hours of television do you watch per week?",3. 11-15 hours,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,What is your gender?,2. Male,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,What is your age?,2. 30-39,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,What is your highest level of education completed?,4. University (Bachelor’s degree- 4 years or equivalent),demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,What is your favourite (most experienced) genre(s) of live-televised programming?,2. Sports,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,How often do you use closed captions when watching live-televised programming?,2. Frequently,demo
0a8ece2aa3e64adc8d1f85cff45abd05,demographics,52:21.8,"On average, how many hours of television do you watch per week?",2. 6-10 hours,demo
18ef561acc0c49de82e7d4cc66b4e23a,demographics,54:32.9,What statement best describes your relationship to the Deaf and/or Hard of Hearing communities?,4. I am Hard of Hearing,demo
18ef561acc0c49de82e7d4cc66b4e23a,demographics,54:32.9,What is your gender?,2. Male,demo
18ef561acc0c49de82e7d4cc66b4e23a,demographics,54:32.9,What is your age?,2. 30-39,demo
